nama file uji,kata yang diuji,likelihood
kapan,afrika,-1202.0745577595126
kapan,asia,-1257.6718017784458
kapan,baru,-1142.356833134191
kapan,budi,-1240.5950469941906
kapan,didirikan,-1144.7068809928694
kapan,dimana,-1178.1616788569004
kapan,diponegoro,-1210.701536080712
kapan,diselenggarakan,-1113.3349121188473
kapan,hayam,-1102.970708883069
kapan,indonesia,-1270.1719899147943
kapan,kapan,-1050.3269711223277
kapan,kerajaan,-1103.1717766196602
kapan,konferensi,-1191.2199787978832
kapan,letak,-1168.1398556203615
kapan,masa,-1177.8383040103056
kapan,orde,-1253.7077399454379
kapan,pada,-1204.1493936644051
kapan,pendiri,-1234.5424683856036
kapan,perjanjian,-1186.2963617396924
kapan,pertama,-1157.5208804705067
kapan,presiden,-1202.7081247443919
kapan,saragosa,-1237.357636800359
kapan,siapa,-1146.9135284677895
kapan,siswa,-1226.1534643521804
kapan,sriwijaya,-1230.6289347414302
kapan,taman,-1009.0670820082723
kapan,terjadi,-1256.4261657375996
kapan,utomo,-1191.3975918496446
kapan,wafat,-1232.9757509537078
kapan,wuruk,-1268.6159273870378
